time_period,time_identifier,geographic_level,country_code,country_name,age_group,graduate_type,employment_rate,hs_employment_rate,unemployment_rate,inactivity_rate,employment_accuracy_flag,hs_employment_accuracy_flag,unemployment_accuracy_flag,inactive_accuracy_flag
2007,Calendar year,National,E92000001,England,16-64,Graduate,87.3,68.7,2.8,10.2,0,0,0,0
2007,Calendar year,National,E92000001,England,16-64,Non-Graduate,72.2,23.4,6.2,23.1,0,0,0,0
2007,Calendar year,National,E92000001,England,16-64,Postgraduate,89.1,81.3,2.6,8.5,0,0,0,0
2007,Calendar year,National,E92000001,England,21-30,Graduate,86.9,60.1,4.1,9.4,0,0,0,0
2007,Calendar year,National,E92000001,England,21-30,Non-Graduate,72.6,20.0,7.8,21.2,0,0,0,0
2007,Calendar year,National,E92000001,England,21-30,Postgraduate,88.2,75.9,3.2,8.9,0,0,4,0
2008,Calendar year,National,E92000001,England,16-64,Graduate,86.0,68.7,3.2,11.2,0,0,0,0
2008,Calendar year,National,E92000001,England,16-64,Non-Graduate,69.8,22.6,6.7,25.2,0,0,0,0
2008,Calendar year,National,E92000001,England,16-64,Postgraduate,87.4,79.2,2.4,10.4,0,0,0,0
2008,Calendar year,National,E92000001,England,21-30,Graduate,86.7,61.3,4.6,9.1,0,0,0,0
2008,Calendar year,National,E92000001,England,21-30,Non-Graduate,72.0,19.3,8.7,21.1,0,0,0,0
2008,Calendar year,National,E92000001,England,21-30,Postgraduate,87.3,74.0,3.0,10.0,0,0,4,0
2009,Calendar year,National,E92000001,England,16-64,Graduate,84.7,67.3,4.4,11.4,0,0,0,0
2009,Calendar year,National,E92000001,England,16-64,Non-Graduate,67.7,22.0,9.0,25.7,0,0,0,0
2009,Calendar year,National,E92000001,England,16-64,Postgraduate,87.0,78.7,3.2,10.2,0,0,0,0
2009,Calendar year,National,E92000001,England,21-30,Graduate,83.6,57.8,6.7,10.4,0,0,0,0
2009,Calendar year,National,E92000001,England,21-30,Non-Graduate,68.6,18.6,12.4,21.7,0,0,0,0
2009,Calendar year,National,E92000001,England,21-30,Postgraduate,86.9,73.5,4.8,8.7,0,0,2,0
